1,0.644,0.247,-0.447
0,0.385,1.8,1.037
0,1.214,-0.166,0.004
1,0.42,1.111,0.137
0,0.897,-1.703,-1.306
0,0.756,1.126,-0.945
0,1.141,-0.741,0.953
1,0.606,-0.936,-0.384
1,0.603,0.429,-0.279
0,1.171,-0.962,0.521
1,1.392,-0.358,0.235
1,1.024,1.076,-0.886
1,0.89,-0.76,1.182
1,0.46,0.537,0.636
1,0.364,1.648,0.56
1,0.525,-0.096,1.206
0,0.536,-0.821,-1.029
1,1.789,-0.583,1.641
1,1.332,-0.571,0.986
0,1.123,0.629,-1.708
0,1.816,-0.515,0.171
1,0.364,0.694,0.445
1,0.79,-1.175,0.475
1,0.765,-0.5,-0.603
1,1.407,1.293,-1.418
1,0.772,-0.186,-1.372
1,0.546,-0.954,0.715
1,0.596,0.276,-1.054
0,0.458,2.292,1.53
0,0.638,-0.575,-1.048
1,0.434,-1.119,-0.313
1,0.431,-1.144,-1.03
1,1.894,0.222,1.224
0,0.985,-0.316,0.141
0,0.998,-0.187,-0.236
0,0.515,0.246,-0.593
0,0.919,-1.001,1.506
0,0.794,0.051,1.477
1,0.455,-0.946,-1.175
1,0.662,-0.296,-1.287
0,0.39,0.698,-1.629
0,1.014,0.117,1.384
0,1.53,-1.408,-0.207
1,1.689,-0.59,0.915
0,1.102,0.402,-1.622
0,2.491,0.825,0.581
0,0.666,0.254,1.601
0,0.937,-1.126,1.424
1,0.881,-1.086,-0.87
0,0.41,0.835,-0.819
1,0.634,0.196,-1.679
1,0.632,-1.254,1.201
0,0.714,1.122,1.566
1,0.477,-0.321,-0.471
1,1.351,0.46,0.031
1,0.52,-1.442,-0.348
0,0.7,-0.308,0.92
1,0.72,1.061,-0.546
1,0.735,-0.416,0.588
1,0.777,-0.396,1.54
1,0.934,0.319,-0.257
0,0.461,0.771,0.019
1,0.858,-0.116,-0.937
0,0.72,-0.335,-0.307
1,0.75,-0.811,-0.542
0,0.392,-0.468,-0.216
1,0.434,-1.269,0.643
0,0.828,-1.803,0.342
1,1.089,-0.35,-0.747
1,0.444,0.451,-1.332
0,0.629,0.114,1.177
1,1.754,-1.259,-0.573
1,0.549,0.706,-1.437
0,0.475,0.542,-0.987
1,0.723,0.049,-1.153
1,1.062,0.296,0.725
0,0.572,-0.349,1.396
1,0.563,0.387,0.412
1,1.632,1.577,-0.697
1,0.562,-0.36,0.399
1,0.987,0.706,-0.492
1,1.052,0.883,-0.581
1,2.13,-0.516,-0.291
1,0.742,0.797,1.628
0,0.311,-1.249,-0.927
0,0.66,-1.834,-0.667
0,3.609,-0.59,0.851
1,0.905,-0.403,1.567
1,0.983,0.255,1.093
1,1.16,-1.027,0.274
0,0.299,0.028,-1.372
0,0.293,1.737,-1.418
0,0.457,-0.393,1.56
0,0.935,-0.582,0.24
1,0.902,-0.745,-1.215
1,0.653,0.337,-0.32
0,1.157,1.401,0.34
0,0.96,0.355,-0.152
1,1.038,0.274,0.825
0,0.49,0.277,0.318
